src,denoising,denoising_method,exclusive_test_filtered/macro_types/precision,exclusive_test_filtered/macro_types/recall,exclusive_test_filtered/macro_types/f1,exclusive_test_filtered/micro/precision,exclusive_test_filtered/micro/recall,exclusive_test_filtered/micro/f1,exclusive_test_filtered/macro_example/precision,exclusive_test_filtered/macro_example/recall,exclusive_test_filtered/macro_example/f1
bbn,-1.0,-1,0.4799433350563049,0.3866550326347351,0.4282779991626739,0.6685402989387512,0.602548360824585,0.633831262588501,0.6571683287620544,0.6125455498695374,0.6340728402137756
bbn,20.0,TTA,0.41666115323702496,0.3315345048904419,0.36917218565940857,0.6625898679097494,0.6121174891789755,0.6362383365631104,0.6411645809809366,0.6184642116228739,0.6295812129974365
bbn,20.0,TTAR,0.40433992942174274,0.3665124873320262,0.38333125909169513,0.6712341904640198,0.6167229612668356,0.6424536108970642,0.6552040378252665,0.6244539817174276,0.6393560767173767
bbn,20.0,TTR,0.40719441572825116,0.37506425380706787,0.3900210956732432,0.6612874865531921,0.613499124844869,0.6364851395289103,0.6450634400049845,0.6160282492637634,0.6302114725112915
figer,-1.0,-1,0.364450991153717,0.336575835943222,0.3499592244625091,0.7114612460136414,0.6419512033462524,0.6749212741851807,0.7083601951599121,0.643455982208252,0.6743499636650085
figer,20.0,TTA,0.3653991222381592,0.3182022273540496,0.340073158343633,0.7041504184405009,0.6407433350880941,0.6707858840624491,0.6833591262499491,0.6302873492240906,0.6556533972422282
figer,20.0,TTAR,0.3601713975270589,0.3040875593821208,0.3295699457327525,0.7199162046114603,0.628989557425181,0.6713291009267172,0.7042168180147806,0.6286635200182596,0.664260745048523
figer,20.0,TTR,0.3329077859719594,0.31622990965843195,0.3243528306484222,0.7043080528577169,0.5992102225621542,0.6475168069203695,0.6760594447453817,0.5972479383150736,0.6341933409372965
ontonotes_shimaoka,-1.0,-1,0.1989188939332962,0.2248795926570892,0.2111041098833084,0.6304410099983215,0.6596729755401611,0.6447257995605469,0.6919547915458679,0.7102681398391724,0.7009918689727783
ontonotes_shimaoka,20.0,TTA,0.14959911753733945,0.21779322127501166,0.1768341461817423,0.6137065887451172,0.6400856177012125,0.6218842466672262,0.6808717052141825,0.703348974386851,0.6885039806365967
ontonotes_shimaoka,20.0,TTAR,0.18697167436281836,0.2532733579476674,0.21500315268834427,0.6024192770322164,0.6690310637156168,0.633959174156189,0.657436748345693,0.7179670929908752,0.6863077282905579
ontonotes_shimaoka,20.0,TTR,0.23012385269006086,0.27272190650304157,0.249089777469635,0.6306066910425822,0.6980263590812683,0.6625361839930216,0.6866181294123331,0.7507884303728739,0.7172161738077799
