metric,projector,instance,precision,recall,f1
test_LOCATION-REGION/macro_types,figer_L2AWE_adapter_bert_ms,2,0.39814814925193787,0.646616518497467,0.4928367137908935
test_FACILITY/macro_types,figer_L2AWE_adapter_bert_ms,2,0.0,0.0,0.0
test_ORGANIZATION-HOTEL/macro_types,figer_L2AWE_adapter_bert_ms,2,0.5,0.5,0.5
test_SUBSTANCE-FOOD/macro_types,figer_L2AWE_adapter_bert_ms,2,0.6053639650344849,0.929411768913269,0.7331786155700684
test_PRODUCT-VEHICLE/macro_types,figer_L2AWE_adapter_bert_ms,2,0.800000011920929,0.37735849618911743,0.5128205418586731
test_LAW/macro_types,figer_L2AWE_adapter_bert_ms,2,0.9387755393981934,0.6301369667053223,0.7540982961654663
test_GPE-COUNTRY/macro_types,figer_L2AWE_adapter_bert_ms,2,0.9235293865203856,0.9010043144226074,0.9121277928352356
test_GAME/macro_types,figer_L2AWE_adapter_bert_ms,2,0.5,0.032786883413791656,0.0615384541451931
test_CONTACT_INFO/macro_types,figer_L2AWE_adapter_bert_ms,2,0.0,0.0,0.0
test_LOCATION-CONTINENT/macro_types,figer_L2AWE_adapter_bert_ms,2,0.9833333492279052,0.921875,0.9516128897666932
test_LOCATION/macro_types,figer_L2AWE_adapter_bert_ms,2,0.10919220000505447,0.8032786846160889,0.1922511011362076
test_ORGANIZATION-POLITICAL/macro_types,figer_L2AWE_adapter_bert_ms,2,0.6632652878761292,0.8904109597206116,0.7602338790893555
test_SUBSTANCE-CHEMICAL/macro_types,figer_L2AWE_adapter_bert_ms,2,0.372197300195694,0.518750011920929,0.4334203600883484
test_ORGANIZATION-CORPORATION/macro_types,figer_L2AWE_adapter_bert_ms,2,0.7850715517997742,0.885582447052002,0.8323034644126892
test_GPE/macro_types,figer_L2AWE_adapter_bert_ms,2,0.8444444537162781,0.9508489966392516,0.8944935202598572
test_WORK_OF_ART/macro_types,figer_L2AWE_adapter_bert_ms,2,0.34657835960388184,0.8134714961051941,0.48606806993484497
test_FACILITY-AIRPORT/macro_types,figer_L2AWE_adapter_bert_ms,2,0.0,0.0,0.0
test_ANIMAL/macro_types,figer_L2AWE_adapter_bert_ms,2,0.8591549396514893,0.6630434989929199,0.7484662532806396
test_FACILITY-HIGHWAY_STREET/macro_types,figer_L2AWE_adapter_bert_ms,2,0.0,0.0,0.0
