metric,projector,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_LOCATION-REGION/macro_types,figer_L2AWE_adapter_bert_ms,0.3903109033902486,0.6416039864222208,0.4853497842947642,0.009261705696906463,0.008681960228895046,0.009563568278200917
test_FACILITY/macro_types,figer_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_ORGANIZATION-HOTEL/macro_types,figer_L2AWE_adapter_bert_ms,0.5,0.3000000019868215,0.3571428656578064,0.5,0.264575132232881,0.31134993332920474
test_SUBSTANCE-FOOD/macro_types,figer_L2AWE_adapter_bert_ms,0.7223210533459982,0.8823529283205668,0.7896923820177714,0.1017344975438678,0.041176485163824966,0.04957479523091505
test_PRODUCT-VEHICLE/macro_types,figer_L2AWE_adapter_bert_ms,0.7416462500890096,0.3805031478404999,0.5015758872032166,0.08783783081238836,0.005446696432299805,0.016727452988001594
test_LAW/macro_types,figer_L2AWE_adapter_bert_ms,0.9272627433141073,0.6940639217694601,0.7928027908007304,0.0285659849267519,0.061770549055859145,0.04338156563205969
test_GPE-COUNTRY/macro_types,figer_L2AWE_adapter_bert_ms,0.9275923569997152,0.9067431886990865,0.9170458515485128,0.0037038795008373544,0.005738884210612259,0.004353269989443545
test_GAME/macro_types,figer_L2AWE_adapter_bert_ms,0.5,0.032786883413791656,0.0615384541451931,0.5,0.032786883413791656,0.0615384541451931
test_CONTACT_INFO/macro_types,figer_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_LOCATION-CONTINENT/macro_types,figer_L2AWE_adapter_bert_ms,0.9224637746810913,0.953125,0.9364015261332194,0.05331383958028655,0.03125,0.017488574041959137
test_LOCATION/macro_types,figer_L2AWE_adapter_bert_ms,0.11290540297826131,0.8073770403862,0.19808862109978995,0.005056546085549461,0.007098560421325471,0.00798155234585775
test_ORGANIZATION-POLITICAL/macro_types,figer_L2AWE_adapter_bert_ms,0.7765110731124878,0.8356164296468099,0.799723227818807,0.10270760850330819,0.05479452013969693,0.03420545923143595
test_SUBSTANCE-CHEMICAL/macro_types,figer_L2AWE_adapter_bert_ms,0.3593936363855998,0.59375,0.4444285233815511,0.013943462072014013,0.13535254919840242,0.03905374103704766
test_ORGANIZATION-CORPORATION/macro_types,figer_L2AWE_adapter_bert_ms,0.7636411190032959,0.89773162206014,0.8249715367952982,0.02152048745523565,0.01794173845540259,0.006367815172618755
