type,freq_train,freq_dev,freq_test
/ANIMAL,419,3,92
/CONTACT_INFO,1753,16,18
/CONTACT_INFO/url,1753,16,0
/DISEASE,2088,28,45
/EVENT,4991,71,80
/EVENT/HURRICANE,126,2,8
/EVENT/WAR,1776,21,11
/FACILITY,712,7,0
/FACILITY/AIRPORT,79,1,0
/FACILITY/ATTRACTION,339,3,0
/FACILITY/BRIDGE,26,0,0
/FACILITY/BUILDING,330,3,0
/FACILITY/HIGHWAY_STREET,100,0,0
/GAME,348,3,61
/GPE,13432,166,2238
/GPE/CITY,6396,91,1173
/GPE/COUNTRY,5678,61,697
/GPE/STATE_PROVINCE,1640,18,325
/LANGUAGE,503,3,13
/LAW,243,2,73
/LOCATION,8596,94,244
/LOCATION/CONTINENT,231,3,64
/LOCATION/LAKE_SEA_OCEAN,5,1,11
/LOCATION/REGION,895,7,133
/LOCATION/RIVER,96,0,15
/ORGANIZATION,23011,274,5563
/ORGANIZATION/CORPORATION,16342,185,4335
/ORGANIZATION/EDUCATIONAL,736,16,55
/ORGANIZATION/GOVERNMENT,4458,53,781
/ORGANIZATION/HOSPITAL,29,1,2
/ORGANIZATION/HOTEL,13,0,10
/ORGANIZATION/MUSEUM,140,1,0
/ORGANIZATION/POLITICAL,602,11,73
/ORGANIZATION/RELIGIOUS,87,1,6
/PERSON,32519,403,2865
/PLANT,2101,23,24
/PRODUCT,1396,28,193
/PRODUCT/VEHICLE,396,8,106
/PRODUCT/WEAPON,125,2,3
/SUBSTANCE,5482,70,647
/SUBSTANCE/CHEMICAL,2218,21,160
/SUBSTANCE/DRUG,1918,29,58
/SUBSTANCE/FOOD,1197,20,170
/WORK_OF_ART,6530,76,193
/WORK_OF_ART/BOOK,4668,52,34
/WORK_OF_ART/PLAY,31,0,9
/WORK_OF_ART/SONG,738,9,18
