type,freq_train,freq_dev,freq_test
/location,47531,212,1020
/location/celestial,667,1,1
/location/city,11486,31,248
/location/country,16970,87,248
/location/geography,1158,11,62
/location/geography/body_of_water,794,3,7
/location/geography/island,221,0,0
/location/geography/mountain,136,0,1
/location/park,77,0,3
/location/structure,7388,19,145
/location/structure/airport,128,0,1
/location/structure/government,5457,5,5
/location/structure/hospital,78,0,0
/location/structure/hotel,37,0,5
/location/structure/restaurant,92,3,0
/location/structure/sports_facility,75,0,8
/location/structure/theater,159,0,0
/location/transit,199,4,16
/location/transit/bridge,22,0,1
/location/transit/railway,5,1,6
/location/transit/road,172,0,7
/organization,35396,417,1408
/organization/company,17547,267,1026
/organization/company/broadcast,1529,0,17
/organization/company/news,6997,8,65
/organization/education,2648,3,10
/organization/government,5879,89,243
/organization/military,2874,7,9
/organization/music,1278,0,0
/organization/political_party,1656,7,1
/organization/sports_league,262,0,0
/organization/sports_team,710,0,2
/organization/stock_exchange,365,0,11
/organization/transit,279,0,2
/other,76164,1459,5897
/other/art,14471,6,132
/other/art/broadcast,1201,0,30
/other/art/film,1717,0,2
/other/art/music,2990,0,1
/other/art/stage,222,0,2
/other/art/writing,8696,6,88
/other/award,77,0,0
/other/body_part,3688,0,6
/other/currency,3353,58,170
/other/event,9730,76,109
/other/event/accident,32,0,0
/other/event/election,904,2,0
/other/event/holiday,2095,0,2
/other/event/natural_disaster,1020,2,0
/other/event/protest,823,14,2
/other/event/sports_event,62,16,1
/other/event/violent_conflict,3517,2,17
/other/food,2927,2,41
/other/health,9542,5,26
/other/health/malady,6411,0,0
/other/health/treatment,3133,4,26
/other/heritage,1907,3,10
/other/internet,4213,0,0
/other/language,1797,0,0
/other/language/programming_language,77,0,0
/other/legal,352,67,269
/other/living_thing,5572,0,52
/other/living_thing/animal,1753,0,8
/other/product,7826,22,255
/other/product/car,670,0,24
/other/product/computer,89,4,3
/other/product/mobile_phone,15,0,0
/other/product/software,1954,0,14
/other/product/weapon,448,1,14
/other/religion,2182,1,0
/other/scientific,3871,0,4
/other/sports_and_leisure,413,24,6
/other/supernatural,8890,0,2
/person,72643,239,1130
/person/artist,28632,5,74
/person/artist/actor,13745,0,1
/person/artist/author,23664,5,58
/person/artist/director,1127,0,0
/person/artist/music,1923,0,1
/person/athlete,1225,0,1
/person/coach,64,0,0
/person/doctor,99,0,1
/person/legal,1285,9,97
/person/military,9094,1,0
/person/political_figure,17904,56,189
/person/religious_leader,3056,0,0
/person/title,30746,5,50
/person/military,570283,3269,13393
