src,denoising,denoising_method,metrics_per_types_GT_K/precision,metrics_per_types_GT_K/recall,metrics_per_types_GT_K/f1,test/micro/precision,test/micro/recall,test/micro/f1,test/macro_example/precision,test/macro_example/recall,test/macro_example/f1
bbn,-1.0,-1,0.5320230069521227,0.5687933968085992,0.5497940842284172,0.7234153747558594,0.8075317740440369,0.7631626725196838,0.7433907985687256,0.8039516806602478,0.7724860906600952
bbn,20.0,TTA,0.5277968856522389,0.559669376759414,0.5430087563232425,0.7279385328292847,0.8366818825403849,0.7785198291142782,0.7552526791890463,0.8351552883783976,0.7931852539380392
bbn,20.0,TTAR,0.5391463027580788,0.5746052013546751,0.5560358332784716,0.7368199030558268,0.8350804050763448,0.7827814618746439,0.7618823250134786,0.8332792917887369,0.795937200387319
bbn,20.0,TTR,0.5144072114244888,0.553834174514601,0.5331794043387047,0.7278005083401998,0.8325730363527933,0.7766115665435791,0.7589810887972513,0.8291898965835571,0.7925232251485189
figer,-1.0,-1,0.3687214978823536,0.4568811949146421,0.4080944018544495,0.6746082305908203,0.7186741828918457,0.6959443688392639,0.7259534597396851,0.7345938682556152,0.7302480936050415
figer,20.0,TTA,0.38848793509890117,0.46209663865074774,0.42194569362454404,0.6893331408500671,0.7337021629015604,0.7107711037000021,0.7391020854314169,0.749169925848643,0.7440711855888367
figer,20.0,TTAR,0.3956376837337749,0.4590035501148617,0.4248879610465222,0.6987797617912292,0.721488893032074,0.7099385460217794,0.7419862747192383,0.738291879494985,0.7401176293691
figer,20.0,TTR,0.3899705556237645,0.4812242111289187,0.4307219885338309,0.7021580934524536,0.7130285700162252,0.7075284322102865,0.7463118235270182,0.7326503793398539,0.7394168178240458
ontonotes_shimaoka,-1.0,-1,0.3906798901918687,0.3874062685001838,0.389036192834256,0.689253032207489,0.6654372215270996,0.6771357655525208,0.6932275295257568,0.6874240636825562,0.6903135776519775
ontonotes_shimaoka,20.0,TTA,0.2518946170610817,0.2882136306965421,0.26858743080634434,0.6514479120572408,0.5818855265776316,0.6089814503987631,0.6562865972518921,0.6109806299209595,0.6298684378465017
ontonotes_shimaoka,20.0,TTAR,0.3294100777099007,0.3702296623469967,0.3486155297201475,0.6991367141405741,0.690462330977122,0.6947329640388489,0.7078049182891846,0.7093961636225382,0.7085838913917542
ontonotes_shimaoka,20.0,TTR,0.34049121205482563,0.38273786191354714,0.3601140186207448,0.7131231625874838,0.709841787815094,0.7114701072374979,0.7219009796778361,0.7240666747093201,0.722974956035614
