src,denoising,denoising_method,metrics_per_types_GT_K/precision,metrics_per_types_GT_K/recall,metrics_per_types_GT_K/f1,test/micro/precision,test/micro/recall,test/micro/f1,test/macro_example/precision,test/macro_example/recall,test/macro_example/f1
bbn,-1.0,-1,0.2130524262040853,0.2151923288404941,0.2141170310665079,0.3566884696483612,0.2930635511875152,0.321760892868042,0.3152032494544983,0.2440570592880249,0.2751047313213348
bbn,20.0,TTA,0.2022495453804731,0.20547942315538723,0.20333464780765517,0.3582764168580373,0.2977177103360494,0.3251587351163228,0.3075272440910339,0.24798492093880964,0.2745451132456462
bbn,20.0,TTAR,0.19183356640239554,0.22189823458592092,0.20545572841803708,0.35971806446711224,0.29995768268903095,0.3269234001636505,0.3142610887686412,0.24977314472198484,0.2782907287279765
bbn,20.0,TTR,0.18396018584569296,0.20754240266978738,0.19501183478352216,0.35524707039197284,0.2983897030353546,0.3243389228979746,0.30939728021621704,0.24763782322406766,0.2750935355822245
figer,-1.0,-1,0.3682244604825973,0.3883267905563116,0.378008555923153,0.403292179107666,0.3439109921455383,0.3712420165538788,0.3331181704998016,0.271512508392334,0.2991768419742584
figer,20.0,TTA,0.3907791875054438,0.3733647783100605,0.381850317685344,0.4011281728744507,0.3432638943195343,0.3699083427588145,0.32136100530624384,0.26886459191640216,0.2927442689736684
figer,20.0,TTAR,0.39643592206140355,0.36829484846442934,0.381444098365541,0.4036327600479126,0.33696708083152765,0.36727839708328247,0.33116968472798664,0.26378320654233295,0.2936480442682902
figer,20.0,TTR,0.35024343475699427,0.37032740039130047,0.3599001570476868,0.39081600308418274,0.3210134704907735,0.35249091188112885,0.31792821486790973,0.2503427614768346,0.28010358413060504
ontonotes_shimaoka,-1.0,-1,0.3254675932601094,0.3412904992699623,0.3331912987465568,0.6304410099983215,0.6596729755401611,0.6447257995605469,0.6919547915458679,0.7102681398391724,0.7009918689727783
ontonotes_shimaoka,20.0,TTA,0.21217290672163167,0.2670140555500984,0.2358074305055793,0.6137065887451172,0.6400856177012125,0.6218842466672262,0.6808717052141825,0.703348974386851,0.6885039806365967
ontonotes_shimaoka,20.0,TTAR,0.2794696741551161,0.33003046788275237,0.30265232899413164,0.6024192770322164,0.6690310637156168,0.633959174156189,0.657436748345693,0.7179670929908752,0.6863077282905579
ontonotes_shimaoka,20.0,TTR,0.32275657966732973,0.3534077565434078,0.33673486113794837,0.6306066910425822,0.6980263590812683,0.6625361839930216,0.6866181294123331,0.7507884303728739,0.7172161738077799
