src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.523,0.372,0.431,0.552,0.4,0.462,0.26,0.269,0.264
FIGER,L2AWE,0.614,0.503,0.552,0.661,0.542,0.595,0.478,0.535,0.505
FIGER,classifier,0.728,0.632,0.677,0.744,0.641,0.688,0.539,0.622,0.577
FIGER,kenn bottom up,0.726,0.637,0.678,0.743,0.644,0.69,0.566,0.623,0.593
FIGER,kenn cross,0.741,0.689,0.714,0.743,0.695,0.718,0.531,0.649,0.584
FIGER,kenn cross bottom up,0.737,0.679,0.707,0.741,0.683,0.711,0.551,0.646,0.595
FIGER,kenn cross hybrid,0.755,0.702,0.727,0.757,0.702,0.728,0.526,0.68,0.593
FIGER,kenn cross top down,0.745,0.695,0.719,0.748,0.698,0.722,0.492,0.68,0.571
FIGER,kenn hybrid,0.743,0.672,0.706,0.756,0.673,0.712,0.518,0.663,0.582
FIGER,kenn top down,0.734,0.663,0.697,0.748,0.667,0.705,0.49,0.663,0.563
OntoNotes,L2AWE,0.689,0.614,0.649,0.729,0.644,0.684,0.493,0.567,0.527
OntoNotes,classifier,0.722,0.638,0.677,0.752,0.649,0.697,0.503,0.584,0.54
OntoNotes,kenn bottom up,0.718,0.635,0.674,0.751,0.647,0.695,0.522,0.573,0.546
OntoNotes,kenn cross,0.728,0.679,0.703,0.749,0.69,0.718,0.49,0.608,0.543
OntoNotes,kenn cross bottom up,0.726,0.671,0.697,0.75,0.681,0.714,0.51,0.594,0.549
OntoNotes,kenn cross hybrid,0.742,0.695,0.718,0.763,0.699,0.73,0.479,0.612,0.537
OntoNotes,kenn cross top down,0.732,0.685,0.708,0.753,0.689,0.719,0.469,0.618,0.534
OntoNotes,kenn hybrid,0.74,0.683,0.71,0.764,0.687,0.723,0.483,0.605,0.537
OntoNotes,kenn top down,0.724,0.672,0.696,0.752,0.679,0.714,0.475,0.619,0.537
