projector,precision/mean,recall/mean,f1/mean
classifier_adapter_bert_ms,0.14289994439796397,0.0878865351183585,0.10883636691424896
figer_L2AWE_adapter_bert_ms,0.47418189530767374,0.3973523391279996,0.4323806864446452
figer_classifier_adapter_bert_ms,0.5130879158693317,0.5472430321306252,0.5296153759532211
figer_kenn_cross_adapter_bert_ms,0.5257062313980178,0.5998350135949359,0.5603295407616032
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5380004102266148,0.5983530016812054,0.5665740200037841
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.517922454227677,0.6280882189932623,0.5677102307227225
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.49281454898760113,0.6229064591032895,0.5502762132797338
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.537639534362314,0.5507775882520436,0.5441292679662239
figer_kenn_vertical_hybrid_adapter_bert_ms,0.5190373572945726,0.5977563813916946,0.5556225500842824
figer_kenn_vertical_top_down_adapter_bert_ms,0.48732187692892914,0.6009707628634938,0.5382122223925146
ontonotes_shimaoka_L2AWE_adapter_bert_ms,0.5047308455237695,0.45313483864689863,0.477543217229975
ontonotes_shimaoka_classifier_adapter_bert_ms,0.4958509154609617,0.5099030622003372,0.5027788222648836
ontonotes_shimaoka_kenn_cross_adapter_bert_ms,0.4974824848846255,0.5373799262217066,0.5166621149918691
ontonotes_shimaoka_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5188092766574731,0.532640317410002,0.5256338284845188
ontonotes_shimaoka_kenn_cross_vertical_hybrid_adapter_bert_ms,0.49915026571078785,0.5536110569118408,0.5249719954938544
ontonotes_shimaoka_kenn_cross_vertical_top_down_adapter_bert_ms,0.4730921085850385,0.5681530172822246,0.5162832502502669
ontonotes_shimaoka_kenn_vertical_bottom_up_adapter_bert_ms,0.5255226782245334,0.5058503404071782,0.5154988949085517
ontonotes_shimaoka_kenn_vertical_hybrid_adapter_bert_ms,0.5009296230824762,0.5402908498225244,0.5198662508073858
ontonotes_shimaoka_kenn_vertical_top_down_adapter_bert_ms,0.47707603717827357,0.561804670432027,0.5159852211607283
