src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.684,0.637,0.659,0.653,0.565,0.606,0.517,0.557,0.536
BBN,L2AWE,0.662,0.575,0.615,0.652,0.513,0.574,0.481,0.462,0.471
BBN,classifier,0.636,0.556,0.593,0.623,0.5,0.555,0.523,0.462,0.49
BBN,kenn bottom up,0.639,0.562,0.598,0.623,0.505,0.558,0.489,0.445,0.466
BBN,kenn cross,0.617,0.576,0.596,0.593,0.523,0.556,0.517,0.481,0.498
BBN,kenn cross bottom up,0.629,0.579,0.603,0.606,0.525,0.562,0.523,0.467,0.493
BBN,kenn cross hybrid,0.614,0.577,0.595,0.589,0.525,0.555,0.508,0.486,0.497
BBN,kenn cross top down,0.581,0.548,0.564,0.566,0.501,0.532,0.501,0.485,0.493
BBN,kenn hybrid,0.6,0.55,0.574,0.587,0.5,0.54,0.509,0.479,0.493
BBN,kenn top down,0.583,0.535,0.558,0.576,0.487,0.528,0.513,0.487,0.5
OntoNotes,L2AWE,0.677,0.604,0.638,0.669,0.539,0.597,0.493,0.487,0.49
OntoNotes,classifier,0.663,0.591,0.625,0.655,0.531,0.587,0.479,0.488,0.484
OntoNotes,kenn bottom up,0.68,0.609,0.642,0.668,0.544,0.599,0.527,0.482,0.504
OntoNotes,kenn cross,0.667,0.618,0.642,0.653,0.562,0.604,0.539,0.514,0.526
OntoNotes,kenn cross bottom up,0.684,0.626,0.654,0.666,0.564,0.611,0.53,0.501,0.515
OntoNotes,kenn cross hybrid,0.654,0.612,0.632,0.637,0.553,0.592,0.539,0.513,0.526
OntoNotes,kenn cross top down,0.611,0.587,0.599,0.602,0.538,0.568,0.531,0.518,0.524
OntoNotes,kenn hybrid,0.649,0.601,0.624,0.636,0.54,0.584,0.507,0.505,0.506
OntoNotes,kenn top down,0.601,0.564,0.582,0.598,0.511,0.551,0.509,0.505,0.507
