projector,precision/mean,recall/mean,f1/mean
bbn_L2AWE_adapter_bert_ms,0.4135685277105582,0.38171711774787515,0.39700499384194554
bbn_classifier_adapter_bert_ms,0.4549941283584845,0.3612476845431809,0.4027374553772018
bbn_kenn_cross_adapter_bert_ms,0.476499787936307,0.38753989225987234,0.42744026856905676
bbn_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.449302631496179,0.36943236685762504,0.4054716970026581
bbn_kenn_cross_vertical_hybrid_adapter_bert_ms,0.47015845346631424,0.3822380877052895,0.42166400141518345
bbn_kenn_cross_vertical_top_down_adapter_bert_ms,0.4831857335838405,0.4024964029515031,0.43916550126156517
bbn_kenn_vertical_bottom_up_adapter_bert_ms,0.4030483622442592,0.34272762467012263,0.37044852675047757
bbn_kenn_vertical_hybrid_adapter_bert_ms,0.43315172097598664,0.36209775684307316,0.394450473499858
bbn_kenn_vertical_top_down_adapter_bert_ms,0.4815235624861236,0.39317780492281673,0.4328891765145622
classifier_adapter_bert_ms,0.43408427537992744,0.40567337166555606,0.4193982209032198
ontonotes_shimaoka_L2AWE_adapter_bert_ms,0.38029747253114526,0.3644005815413865,0.3721793534741032
ontonotes_shimaoka_classifier_adapter_bert_ms,0.4498232804765605,0.38974880810939905,0.41763676951404377
ontonotes_shimaoka_kenn_cross_adapter_bert_ms,0.5026958452330695,0.4192078706968312,0.4571715055421744
ontonotes_shimaoka_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.4989815714834916,0.41702998916834894,0.45433985397059323
ontonotes_shimaoka_kenn_cross_vertical_hybrid_adapter_bert_ms,0.4965325437410913,0.42617355279549207,0.45867051066207853
ontonotes_shimaoka_kenn_cross_vertical_top_down_adapter_bert_ms,0.505994646838217,0.4392894405984517,0.4702884737182534
ontonotes_shimaoka_kenn_vertical_bottom_up_adapter_bert_ms,0.4238032216977592,0.3910126154960105,0.40674812296823015
ontonotes_shimaoka_kenn_vertical_hybrid_adapter_bert_ms,0.44277847610940835,0.42263705851604244,0.43247338470319324
ontonotes_shimaoka_kenn_vertical_top_down_adapter_bert_ms,0.480746930521546,0.4276904876936566,0.45266935299946137
