metric,projector,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_metropolitan_transit-transit_line/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_education-educational_degree/macro_types,bbn_L2AWE_adapter_bert_ms,1.0,1.0,1.0,0.0,0.0,0.0
test_visual_art-color/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_medicine-symptom/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_organization-sports_league/macro_types,bbn_L2AWE_adapter_bert_ms,1.0,0.5,0.5892255951960882,0.0,0.45069390943299864,0.39073199867257347
test_event-sports_event/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-computer/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_event-military_conflict/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_people-ethnicity/macro_types,bbn_L2AWE_adapter_bert_ms,0.5423280596733093,0.8666666746139526,0.6654456853866577,0.03750648780541717,0.1154700469553736,0.04946185077718955
test_product-instrument/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_living_thing-animal/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_music/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_organization-fraternity_sorority/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_government_agency/macro_types,bbn_L2AWE_adapter_bert_ms,0.1515151560306549,0.20833333333333334,0.17543858289718628,0.26243194836182027,0.3608439182435161,0.3038685391858109
test_finance-stock_exchange/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_software/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_newspaper/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_location-cemetery/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_religion/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_location-county/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_building-power_station/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_internet/macro_types,bbn_L2AWE_adapter_bert_ms,0.6111111144224802,0.6666666666666666,0.6333333353201548,0.34694432926752977,0.2886751345948129,0.32145502320318203
test_visual_art/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_geography-island/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-director/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_metropolitan_transit/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_religion-religion/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_event/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product/macro_types,bbn_L2AWE_adapter_bert_ms,0.14862915376822153,0.6666666666666666,0.24190625548362732,0.01595479402080292,0.14433756729740643,0.027031732099773515
test_astral_body/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
