projector,precision/mean,recall/mean,f1/mean
bbn_L2AWE_adapter_bert_ms,0.37288035867114866,0.2341956188219289,0.2876969261941459
bbn_classifier_adapter_bert_ms,0.3762774879733721,0.2698806810906778,0.31431940226163707
bbn_kenn_cross_adapter_bert_ms,0.35296066746115684,0.2998517232884963,0.32424588102486773
bbn_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.354316756327947,0.29188217024008434,0.32008330418834413
bbn_kenn_cross_vertical_hybrid_adapter_bert_ms,0.3550383649021387,0.3050681405669699,0.32816187361662497
bbn_kenn_cross_vertical_top_down_adapter_bert_ms,0.33053718892236555,0.32063575881533324,0.32551119562018666
bbn_kenn_vertical_bottom_up_adapter_bert_ms,0.37428276090572277,0.2744068904221058,0.31665610311034675
bbn_kenn_vertical_hybrid_adapter_bert_ms,0.3608451717843612,0.2938088425031553,0.32389475946374585
bbn_kenn_vertical_top_down_adapter_bert_ms,0.32632828739782177,0.3066740644412736,0.31619605187150635
classifier_adapter_bert_ms,0.24937557630240917,0.17269919687571625,0.20407266429860615
figer_L2AWE_adapter_bert_ms,0.3674504019320011,0.2613819549853603,0.30547061823590194
figer_classifier_adapter_bert_ms,0.451690928687652,0.3835467496188357,0.41483901416356056
figer_kenn_cross_adapter_bert_ms,0.46287198642889654,0.4375429234902064,0.4498511961824673
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.47898233654598393,0.4125880699045956,0.4433130492535147
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.4549718947211901,0.42215195785587034,0.43794790339274486
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.4300645666321119,0.4597821053986748,0.44442710889104686
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.46017666421830655,0.3686903602040062,0.40938460594779624
figer_kenn_vertical_hybrid_adapter_bert_ms,0.44196726811428866,0.39773897352317966,0.4186883432182823
figer_kenn_vertical_top_down_adapter_bert_ms,0.4308767671634754,0.4295260675251484,0.43020035714934307
