metric,projector,instance,precision,recall,f1
test_location-geography-mountain/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-supernatural/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-artist-director/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-holiday/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-legal/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-sports_league/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-military/macro_types,classifier_adapter_bert_ms,0,0.3333333432674408,0.1111111119389534,0.1666666716337204
test_location-transit-railway/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-art-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-art-stage/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-language/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other/macro_types,classifier_adapter_bert_ms,0,0.8335763812065125,0.7754790782928467,0.8034788370132446
test_location-structure-airport/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-art-broadcast/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-transit/macro_types,classifier_adapter_bert_ms,0,1.0,0.25,0.4000000059604645
test_other-heritage/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company-broadcast/macro_types,classifier_adapter_bert_ms,0,0.7142857313156128,0.29411765933036804,0.4166666865348816
test_other-health-malady/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-political_figure/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-internet/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-doctor/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-health/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-event-natural_disaster/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure/macro_types,classifier_adapter_bert_ms,0,0.1328125,0.2344827651977539,0.16957606375217438
test_location-transit-road/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-government/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-religion/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-athlete/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-sports_facility/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-stock_exchange/macro_types,classifier_adapter_bert_ms,0,0.15909090638160706,0.6363636255264282,0.2545454502105713
test_other-language-programming_language/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-protest/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-geography-island/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-sports_event/macro_types,classifier_adapter_bert_ms,0,0.25,1,0.4000000059604645
test_other-event-election/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-health-treatment/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-country/macro_types,classifier_adapter_bert_ms,0,0.7407407164573669,0.08064515888690948,0.145454540848732
test_location-geography/macro_types,classifier_adapter_bert_ms,0,0.11538461595773696,0.14516128599643707,0.12857143580913544
test_organization-company-news/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location/macro_types,classifier_adapter_bert_ms,0,0.6086176037788391,0.6647058725357056,0.63542640209198
test_location-structure-hospital/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-sports_team/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-structure-restaurant/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test/micro,classifier_adapter_bert_ms,0,0.59455806016922,0.4927200675010681,0.5388698577880859
test_other-product-car/macro_types,classifier_adapter_bert_ms,0,0.2777777910232544,0.2083333283662796,0.2380952537059784
test_location-city/macro_types,classifier_adapter_bert_ms,0,1.0,0.07258064299821854,0.13533833622932434
test_other-art-film/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-military/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-computer/macro_types,classifier_adapter_bert_ms,0,1.0,0.3333333432674408,0.5
test_person-artist-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-body_part/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-award/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-title/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-art-writing/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist-actor/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-geography-body_of_water/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-park/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-government/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-living_thing-animal/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-product/macro_types,classifier_adapter_bert_ms,0,0.5575221180915833,0.24705882370471952,0.34239131212234497
test_organization/macro_types,classifier_adapter_bert_ms,0,0.5199999809265137,0.2769886255264282,0.36144575476646423
test_other-scientific/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event/macro_types,classifier_adapter_bert_ms,0,0.07010309398174286,0.31192660331726074,0.11447811126708984
test_other-product-software/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist/macro_types,classifier_adapter_bert_ms,0,0.07594936341047287,0.2432432472705841,0.1157556176185608
test_other-event-accident/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-mobile_phone/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-coach/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-celestial/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company/macro_types,classifier_adapter_bert_ms,0,0.8285714387893677,0.028265107423067093,0.05466541275382042
test_organization-education/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person/macro_types,classifier_adapter_bert_ms,0,0.3687222003936768,0.5132743120193481,0.4291528165340424
test_other-legal/macro_types,classifier_adapter_bert_ms,0,0.07500000298023224,0.011152416467666626,0.019417475908994675
