src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.643,0.661,0.652,0.603,0.587,0.595,0.323,0.349,0.336
BBN,L2AWE,0.68,0.632,0.655,0.644,0.56,0.599,0.408,0.293,0.341
BBN,classifier,0.666,0.636,0.651,0.63,0.566,0.596,0.386,0.327,0.354
BBN,kenn bottom up,0.669,0.651,0.66,0.628,0.58,0.603,0.397,0.325,0.357
BBN,kenn cross,0.652,0.649,0.651,0.607,0.585,0.596,0.372,0.36,0.366
BBN,kenn cross bottom up,0.659,0.657,0.658,0.613,0.59,0.601,0.384,0.331,0.356
BBN,kenn cross hybrid,0.646,0.642,0.644,0.603,0.578,0.59,0.354,0.35,0.352
BBN,kenn cross top down,0.62,0.625,0.623,0.585,0.566,0.575,0.332,0.379,0.354
BBN,kenn hybrid,0.657,0.646,0.651,0.616,0.576,0.595,0.354,0.341,0.347
BBN,kenn top down,0.631,0.62,0.625,0.598,0.555,0.576,0.334,0.362,0.347
FIGER,L2AWE,0.69,0.642,0.665,0.66,0.567,0.61,0.416,0.346,0.378
FIGER,classifier,0.72,0.684,0.701,0.68,0.607,0.641,0.433,0.388,0.409
FIGER,kenn bottom up,0.725,0.699,0.712,0.681,0.622,0.65,0.455,0.38,0.414
FIGER,kenn cross,0.716,0.71,0.713,0.672,0.642,0.657,0.427,0.423,0.425
FIGER,kenn cross bottom up,0.721,0.716,0.719,0.674,0.645,0.659,0.446,0.409,0.427
FIGER,kenn cross hybrid,0.713,0.704,0.708,0.667,0.636,0.651,0.429,0.431,0.43
FIGER,kenn cross top down,0.692,0.685,0.689,0.653,0.621,0.637,0.399,0.45,0.423
FIGER,kenn hybrid,0.717,0.695,0.706,0.674,0.62,0.646,0.431,0.409,0.42
FIGER,kenn top down,0.693,0.672,0.682,0.656,0.6,0.627,0.395,0.428,0.411
